Asset_ID,Asset_Name,Model,Serial_Number,Assigned_To,Department,Location,Purchase_Date,Warranty_Expiry,Status,Condition,age_days,warranty_remaining_days
ASSET10000,Router,Model-900,SN-694424,Divya Desai,Sales,Davangere,02-10-2024,02-10-2027,Damaged,Poor,431,663
ASSET10001,Tablet,Model-731,SN-269733,Unassigned,Finance,Ballari,16-05-2024,16-05-2026,Available,Good,570,159
ASSET10002,Desktop,Model-460,SN-765254,Sahana Desai,Sales,Belagavi,29-04-2023,28-04-2025,In Use,Excellent,953,-224
ASSET10003,Server,Model-767,SN-381590,Unassigned,Operations,Udupi,09-07-2022,08-07-2025,Available,Poor,1247,-153
ASSET10004,Switch,Model-402,SN-592891,Rakesh Murthy,Finance,Bengaluru,21-07-2023,20-07-2024,Disposed,Good,870,-506
ASSET10005,Router,Model-917,SN-207604,Unassigned,Sales,Ballari,19-03-2023,18-03-2024,Available,Excellent,994,-630
ASSET10006,Laptop,Model-590,SN-325217,Kavya Murthy,Finance,Davangere,15-05-2022,15-05-2023,Damaged,Average,1302,-938
ASSET10007,Laptop,Model-804,SN-459461,Pooja Pai,Operations,Mangalore,12-09-2024,12-09-2025,Damaged,Excellent,451,-87
ASSET10008,Projector,Model-797,SN-448911,Nandini Gowda,Marketing,Mysuru,26-06-2022,26-06-2023,Disposed,Poor,1260,-896
ASSET10009,Router,Model-866,SN-767645,Kavya Urs,Operations,Bengaluru,06-04-2022,05-04-2024,In Use,Excellent,1341,-612
ASSET10010,Monitor,Model-469,SN-534244,Vikram Rao,HR,Mysuru,13-10-2024,13-10-2027,Damaged,Good,420,674
ASSET10011,Printer,Model-558,SN-657614,Divya Rao,IT,Udupi,27-07-2024,27-07-2025,Under Repair,Good,498,-134
ASSET10012,Server,Model-624,SN-779256,Unassigned,Admin,Ballari,25-06-2023,24-06-2024,Available,Good,896,-532
ASSET10013,Router,Model-930,SN-372606,Shruthi Hegde,Finance,Mysuru,10-04-2023,09-04-2024,Under Repair,Good,972,-608
ASSET10014,Router,Model-813,SN-862468,Prakash Desai,Admin,Davangere,12-10-2022,11-10-2025,In Use,Excellent,1152,-58
ASSET10015,Laptop,Model-243,SN-721387,Unassigned,IT,Udupi,17-06-2023,16-06-2026,Available,Average,904,190
ASSET10016,Server,Model-807,SN-141252,Arjun Pai,Finance,Udupi,17-09-2022,16-09-2024,Under Repair,Excellent,1177,-448
ASSET10017,Monitor,Model-207,SN-667204,Unassigned,Marketing,Ballari,12-11-2024,12-11-2027,Available,Poor,390,704
ASSET10018,Projector,Model-724,SN-877368,Nandini Urs,HR,Davangere,17-08-2023,16-08-2026,Under Repair,Poor,843,251
ASSET10019,Desktop,Model-339,SN-435467,Sanjay Desai,Admin,Hubli,07-12-2024,07-12-2025,Disposed,Poor,365,-1
ASSET10020,Monitor,Model-751,SN-273353,Nandini Desai,Marketing,Bengaluru,26-04-2022,26-04-2023,Under Repair,Good,1321,-957
ASSET10021,Desktop,Model-960,SN-149208,Shruthi Murthy,R&D,Mysuru,16-03-2023,15-03-2024,In Use,Poor,997,-633
ASSET10022,Printer,Model-455,SN-386727,Kavya Hegde,R&D,Udupi,11-04-2022,11-04-2023,Damaged,Average,1336,-972
ASSET10023,Projector,Model-823,SN-168460,Unassigned,IT,Mangalore,08-10-2022,07-10-2024,Available,Average,1156,-427
ASSET10024,Monitor,Model-505,SN-272885,Asha Hegde,Finance,Hubli,13-04-2024,13-04-2026,Damaged,Poor,603,126
ASSET10025,Desktop,Model-671,SN-245651,Rakesh Urs,IT,Davangere,21-12-2022,21-12-2023,Damaged,Poor,1082,-718
ASSET10026,Switch,Model-962,SN-895233,Meena Hegde,Finance,Hubli,24-01-2023,24-01-2024,Under Repair,Poor,1048,-684
ASSET10027,Router,Model-161,SN-893509,Manoj Shetty,IT,Shivamogga,15-01-2024,14-01-2026,Damaged,Poor,692,37
ASSET10028,Projector,Model-992,SN-472942,Shruthi Rao,Operations,Ballari,21-07-2024,21-07-2026,Under Repair,Good,504,225
ASSET10029,Printer,Model-247,SN-341871,Pooja Desai,IT,Mysuru,22-04-2022,21-04-2025,Disposed,Poor,1325,-231
ASSET10030,Server,Model-642,SN-859767,Kavya Urs,Sales,Davangere,12-07-2024,12-07-2026,In Use,Poor,513,216
ASSET10031,Laptop,Model-837,SN-580131,Unassigned,Operations,Hubli,19-09-2023,18-09-2026,Available,Poor,810,284
ASSET10032,Desktop,Model-156,SN-555485,Divya Gowda,HR,Mangalore,18-11-2022,17-11-2024,Damaged,Poor,1115,-386
ASSET10033,Tablet,Model-865,SN-609830,Prakash Pai,Marketing,Belagavi,19-01-2024,18-01-2026,In Use,Poor,688,41
ASSET10034,Monitor,Model-820,SN-428149,Deepak Desai,IT,Davangere,06-06-2023,05-06-2025,Disposed,Good,915,-186
ASSET10035,Mobile,Model-768,SN-264250,Asha Murthy,Marketing,Davangere,27-04-2022,26-04-2025,Disposed,Average,1320,-226
ASSET10036,Laptop,Model-342,SN-360687,Unassigned,Admin,Mysuru,24-04-2023,23-04-2026,Available,Excellent,958,136
ASSET10037,Tablet,Model-945,SN-823453,Sanjay Gowda,Operations,Mysuru,09-10-2022,08-10-2024,Damaged,Good,1155,-426
ASSET10038,Monitor,Model-788,SN-284128,Rakesh Urs,HR,Belagavi,06-08-2023,05-08-2024,Disposed,Poor,854,-490
ASSET10039,Router,Model-842,SN-916541,Meena Murthy,Sales,Bengaluru,28-11-2022,27-11-2024,Disposed,Good,1105,-376
ASSET10040,Projector,Model-355,SN-299326,Meena Hegde,Marketing,Belagavi,09-01-2023,09-01-2024,Under Repair,Average,1063,-699
ASSET10041,Projector,Model-978,SN-120953,Prakash Naidu,Admin,Udupi,26-02-2022,26-02-2024,Under Repair,Average,1380,-651
ASSET10042,Monitor,Model-850,SN-523698,Unassigned,Finance,Hubli,22-06-2023,21-06-2025,Available,Excellent,899,-170
ASSET10043,Monitor,Model-422,SN-496041,Rohan Rao,Operations,Mysuru,15-07-2023,14-07-2024,Damaged,Excellent,876,-512
ASSET10044,Printer,Model-474,SN-440904,Prakash Hegde,Sales,Ballari,02-12-2024,02-12-2026,Damaged,Excellent,370,359
ASSET10045,Server,Model-789,SN-617294,Rohan Shetty,Finance,Shivamogga,10-08-2023,09-08-2024,Disposed,Good,850,-486
ASSET10046,Mobile,Model-104,SN-409480,Latha Gowda,Sales,Shivamogga,12-02-2024,11-02-2025,Under Repair,Poor,664,-300
ASSET10047,Laptop,Model-439,SN-407999,Manoj Rao,Finance,Mangalore,02-05-2024,02-05-2027,Under Repair,Poor,584,510
ASSET10048,Desktop,Model-547,SN-905641,Vikram Desai,Marketing,Belagavi,18-04-2024,18-04-2027,Under Repair,Poor,598,496
ASSET10049,Switch,Model-921,SN-967664,Asha Rao,Sales,Bengaluru,11-04-2023,10-04-2025,Disposed,Good,971,-242
ASSET10050,Mobile,Model-249,SN-886567,Unassigned,Admin,Mangalore,22-08-2024,22-08-2027,Available,Good,472,622
ASSET10051,Projector,Model-812,SN-674788,Unassigned,Admin,Bengaluru,13-10-2022,12-10-2025,Available,Poor,1151,-57
ASSET10052,Mobile,Model-783,SN-934496,Karthik Urs,IT,Mysuru,08-01-2023,08-01-2024,Damaged,Poor,1064,-700
ASSET10053,Printer,Model-254,SN-749596,Rakesh Hegde,Operations,Mangalore,19-03-2023,18-03-2024,In Use,Poor,994,-630
ASSET10054,Switch,Model-224,SN-949968,Sahana Hegde,Admin,Davangere,15-03-2023,14-03-2025,Damaged,Good,998,-269
ASSET10055,Server,Model-645,SN-377958,Unassigned,Marketing,Hubli,01-02-2024,31-01-2027,Available,Excellent,675,419
ASSET10056,Tablet,Model-336,SN-325497,Rakesh Pai,Admin,Udupi,12-01-2022,12-01-2024,Damaged,Average,1425,-696
ASSET10057,Mobile,Model-647,SN-407619,Divya Hegde,IT,Udupi,26-07-2023,25-07-2025,Disposed,Poor,865,-136
ASSET10058,Laptop,Model-471,SN-515843,Divya Shetty,Admin,Bengaluru,13-04-2023,12-04-2025,Disposed,Good,969,-240
ASSET10059,Laptop,Model-499,SN-945411,Unassigned,R&D,Davangere,04-07-2023,03-07-2026,Available,Poor,887,207
ASSET10060,Desktop,Model-152,SN-412767,Sahana Urs,HR,Shivamogga,12-08-2024,12-08-2027,Damaged,Good,482,612
ASSET10061,Mobile,Model-438,SN-290738,Nandini Shetty,HR,Bengaluru,18-07-2022,17-07-2024,Disposed,Excellent,1238,-509
ASSET10062,Laptop,Model-726,SN-478948,Manoj Urs,Marketing,Mysuru,19-11-2022,18-11-2024,In Use,Good,1114,-385
ASSET10063,Router,Model-982,SN-713441,Pooja Urs,Finance,Bengaluru,28-09-2022,27-09-2024,Disposed,Poor,1166,-437
ASSET10064,Laptop,Model-119,SN-545814,Meena Rao,R&D,Davangere,20-09-2024,20-09-2025,Under Repair,Excellent,443,-79
ASSET10065,Switch,Model-808,SN-458293,Prakash Urs,HR,Ballari,04-07-2024,04-07-2025,Damaged,Average,521,-157
ASSET10066,Server,Model-775,SN-428130,Sahana Murthy,R&D,Belagavi,11-07-2022,10-07-2024,In Use,Average,1245,-516
