Asset_ID,Asset_Name,Model,Serial_Number,Assigned_To,Department,Location,Purchase_Date,Warranty_Expiry,Status,Condition
ASSET10000,Router,Model-900,SN-694424,Divya Desai,Sales,Davangere,02-10-2024,02-10-2027,Damaged,Poor
ASSET10001,Tablet,Model-731,SN-269733,,Finance,Ballari,16-05-2024,16-05-2026,Available,Good
ASSET10002,Desktop,Model-460,SN-765254,Sahana Desai,Sales,Belagavi,29-04-2023,28-04-2025,In Use,Excellent
ASSET10003,Server,Model-767,SN-381590,,Operations,Udupi,09-07-2022,08-07-2025,Available,Poor
ASSET10004,Switch,Model-402,SN-592891,Rakesh Murthy,Finance,Bengaluru,21-07-2023,20-07-2024,Disposed,Good
ASSET10005,Router,Model-917,SN-207604,,Sales,Ballari,19-03-2023,18-03-2024,Available,Excellent
ASSET10006,Laptop,Model-590,SN-325217,Kavya Murthy,Finance,Davangere,15-05-2022,15-05-2023,Damaged,Average
ASSET10007,Laptop,Model-804,SN-459461,Pooja Pai,Operations,Mangalore,12-09-2024,12-09-2025,Damaged,Excellent
ASSET10008,Projector,Model-797,SN-448911,Nandini Gowda,Marketing,Mysuru,26-06-2022,26-06-2023,Disposed,Poor
ASSET10009,Router,Model-866,SN-767645,Kavya Urs,Operations,Bengaluru,06-04-2022,05-04-2024,In Use,Excellent
ASSET10010,Monitor,Model-469,SN-534244,Vikram Rao,HR,Mysuru,13-10-2024,13-10-2027,Damaged,Good
ASSET10011,Printer,Model-558,SN-657614,Divya Rao,IT,Udupi,27-07-2024,27-07-2025,Under Repair,Good
ASSET10012,Server,Model-624,SN-779256,,Admin,Ballari,25-06-2023,24-06-2024,Available,Good
ASSET10013,Router,Model-930,SN-372606,Shruthi Hegde,Finance,Mysuru,10-04-2023,09-04-2024,Under Repair,Good
ASSET10014,Router,Model-813,SN-862468,Prakash Desai,Admin,Davangere,12-10-2022,11-10-2025,In Use,Excellent
ASSET10015,Laptop,Model-243,SN-721387,,IT,Udupi,17-06-2023,16-06-2026,Available,Average
ASSET10016,Server,Model-807,SN-141252,Arjun Pai,Finance,Udupi,17-09-2022,16-09-2024,Under Repair,Excellent
ASSET10017,Monitor,Model-207,SN-667204,,Marketing,Ballari,12-11-2024,12-11-2027,Available,Poor
ASSET10018,Projector,Model-724,SN-877368,Nandini Urs,HR,Davangere,17-08-2023,16-08-2026,Under Repair,Poor
ASSET10019,Desktop,Model-339,SN-435467,Sanjay Desai,Admin,Hubli,07-12-2024,07-12-2025,Disposed,Poor
ASSET10020,Monitor,Model-751,SN-273353,Nandini Desai,Marketing,Bengaluru,26-04-2022,26-04-2023,Under Repair,Good
ASSET10021,Desktop,Model-960,SN-149208,Shruthi Murthy,R&D,Mysuru,16-03-2023,15-03-2024,In Use,Poor
ASSET10022,Printer,Model-455,SN-386727,Kavya Hegde,R&D,Udupi,11-04-2022,11-04-2023,Damaged,Average
ASSET10023,Projector,Model-823,SN-168460,,IT,Mangalore,08-10-2022,07-10-2024,Available,Average
ASSET10024,Monitor,Model-505,SN-272885,Asha Hegde,Finance,Hubli,13-04-2024,13-04-2026,Damaged,Poor
ASSET10025,Desktop,Model-671,SN-245651,Rakesh Urs,IT,Davangere,21-12-2022,21-12-2023,Damaged,Poor
ASSET10026,Switch,Model-962,SN-895233,Meena Hegde,Finance,Hubli,24-01-2023,24-01-2024,Under Repair,Poor
ASSET10027,Router,Model-161,SN-893509,Manoj Shetty,IT,Shivamogga,15-01-2024,14-01-2026,Damaged,Poor
ASSET10028,Projector,Model-992,SN-472942,Shruthi Rao,Operations,Ballari,21-07-2024,21-07-2026,Under Repair,Good
